"","play_id","play_time","weather_time","condition","temp","wind_dir","wind_speed","precip"
"158",3815,2018-09-06 23:53:58,2018-09-06 23:54:00,"Fair",78,"S",6,0
"159",3844,2018-09-06 23:54:56,2018-09-06 23:54:00,"Fair",78,"S",6,0
"160",3868,2018-09-06 23:55:54,2018-09-06 23:54:00,"Fair",78,"S",6,0
"161",3904,2018-09-06 23:56:53,2018-09-06 23:54:00,"Fair",78,"S",6,0
"162",3928,2018-09-06 23:57:51,2018-09-06 23:54:00,"Fair",78,"S",6,0
"163",3950,2018-09-06 23:58:49,2018-09-06 23:54:00,"Fair",78,"S",6,0
"164",3979,2018-09-06 23:59:47,2018-09-06 23:54:00,"Fair",78,"S",6,0
"165",4003,2018-09-07 00:00:45,2018-09-06 23:54:00,"Fair",78,"S",6,0
"166",4024,2018-09-07 00:01:43,2018-09-06 23:54:00,"Fair",78,"S",6,0
"167",4049,2018-09-07 00:02:41,2018-09-06 23:54:00,"Fair",78,"S",6,0
"168",4070,2018-09-07 00:03:39,2018-09-06 23:54:00,"Fair",78,"S",6,0
"169",4087,2018-09-07 00:04:37,2018-09-06 23:54:00,"Fair",78,"S",6,0
"170",4101,2018-09-07 00:04:37,2018-09-06 23:54:00,"Fair",78,"S",6,0
"171",4127,2018-09-07 00:04:37,2018-09-06 23:54:00,"Fair",78,"S",6,0
"172",4142,2018-09-07 00:04:37,2018-09-06 23:54:00,"Fair",78,"S",6,0
"173",4166,2018-09-07 00:08:30,2018-09-06 23:54:00,"Fair",78,"S",6,0
"174",4190,2018-09-07 00:09:28,2018-09-06 23:54:00,"Fair",78,"S",6,0
"175",4207,2018-09-07 00:09:28,2018-09-06 23:54:00,"Fair",78,"S",6,0
"176",4239,2018-09-07 00:11:24,2018-09-06 23:54:00,"Fair",78,"S",6,0
"177",4258,2018-09-07 00:12:22,2018-09-06 23:54:00,"Fair",78,"S",6,0
"178",4377,2018-09-07 00:13:20,2018-09-06 23:54:00,"Fair",78,"S",6,0
"179",4282,2018-09-07 00:13:20,2018-09-06 23:54:00,"Fair",78,"S",6,0
"180",4306,2018-09-07 00:15:17,2018-09-06 23:54:00,"Fair",78,"S",6,0
"181",4325,2018-09-07 00:16:15,2018-09-06 23:54:00,"Fair",78,"S",6,0
"182",4349,2018-09-07 00:17:13,2018-09-06 23:54:00,"Fair",78,"S",6,0
"183",4366,2018-09-07 00:17:13,2018-09-06 23:54:00,"Fair",78,"S",6,0
"184",4395,2018-09-07 00:19:09,2018-09-06 23:54:00,"Fair",78,"S",6,0
"185",4417,2018-09-07 00:20:07,2018-09-06 23:54:00,"Fair",78,"S",6,0
"186",4439,2018-09-07 00:21:05,2018-09-06 23:54:00,"Fair",78,"S",6,0
"187",4472,2018-09-07 00:22:03,2018-09-06 23:54:00,"Fair",78,"S",6,0
"188",4494,2018-09-07 00:23:01,2018-09-06 23:54:00,"Fair",78,"S",6,0
